term,raw_count_domain,tf,df_wikipedia,idf,tfidf_score,in_wikipedia,below_min_df
pressure,1264,8.142037,102710,5.133354,41.795959,true,false
fan,758,7.630683,73303,5.470658,41.744862,true,false
engine,1098,8.001246,95618,5.204902,41.6457,true,false
oclock,8,3.079442,23,13.494975,41.556987,true,false
paint,307,6.726848,36370,6.171502,41.514753,true,false
hole,348,6.852202,43015,6.003701,41.138578,true,false
bolthead,6,2.791759,6,14.727119,41.114573,true,false
ignitor,10,3.302585,70,12.410349,40.986234,true,false
clock,300,6.703782,38948,6.103021,40.913322,true,false
datum,26,4.258097,1189,9.59132,40.840768,true,false
fuel,475,7.163315,58611,5.694334,40.790308,true,false
indicator,97,5.574711,11595,7.314613,40.776856,true,false
rough,328,6.793014,43176,5.999966,40.757848,true,false
buildup,56,5.025352,5238,8.109143,40.751295,true,false
mount,1200,8.090077,116285,5.009221,40.524982,true,false
unbounded,26,4.258097,1343,9.469623,40.322571,true,false
bracket,137,5.919981,19508,6.794398,40.222705,true,false
dim,53,4.970292,5445,8.070392,40.112205,true,false
scratch,93,5.532599,12516,7.238186,40.045984,true,false
length,3568,9.17976,224052,4.353391,39.963087,true,false
bulletin,169,6.129899,25830,6.513698,39.928311,true,false
link,666,7.50129,86503,5.305083,39.794964,true,false
exciterboxe,4,2.386294,0,16.673029,39.786755,false,false
containmentcase,4,2.386294,0,16.673029,39.786755,false,false
burnspot,4,2.386294,0,16.673029,39.786755,false,false
threadmark,4,2.386294,0,16.673029,39.786755,false,false
seperator,4,2.386294,0,16.673029,39.786755,false,false
flow,471,7.154858,67226,5.557199,39.760968,true,false
fault,131,5.875197,20452,6.747144,39.640803,true,false
timestamp,21,4.044522,971,9.793673,39.610731,true,false
dimensional,154,6.036953,25556,6.524362,39.387266,true,false
pawl,13,3.564949,280,11.034674,39.338055,true,false
check,235,6.459586,40165,6.072253,39.224236,true,false
regulator,59,5.077537,7991,7.686833,39.03018,true,false
convex,63,5.143135,8954,7.573062,38.949276,true,false
radial,79,5.369448,12577,7.233324,38.838958,true,false
